original_dmo,original_coordinates,original_latitude,original_longitude,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
Regione Abruzzo,"42.36607953328389, 13.373920968263905",42.3660795332839,13.3739209682639,0,"Palazzo Silone, Via Leonardo da Vinci, 6, 67100 L'Aquila AQ, Italia",42.365814400000005,13.374276790275314,Palazzo Silone,6,Via Leonardo da Vinci,67100,Contrada Romani,Pettino,L'Aquila,L'Aquila,AQ,Abruzzo,ABR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Regione Autonoma della Sardegna - Direzione generale del turismo, artigianato e commercio","39.220560414981605, 9.103561196962344",39.2205604149816,9.10356119696234,1.5374989814751319,"Viale Trieste, 105a, 09123 Cagliari CA, Italia",39.2205674,9.1035766,,105a,Viale Trieste,09123,Comune di Cagliari,Sant'Avendrace-Santa Gilla,Cagliari,Cagliari,CA,Sardegna,SAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Regione Calabria,"38.85552383444799, 16.57485196811133",38.855523834448,16.5748519681113,2.580833606033783,"Viale Europa, 88100 Catanzaro CZ, Italia",38.8564817,16.5741919,Viale Europa,,Viale Europa,88100,,,Catanzaro,Catanzaro,CZ,Calabria,CAL,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Regione Lazio,"41.8595763505534, 12.494237608220336",41.8595763505534,12.4942376082203,0,"Regione Lazio, Via Maria Drago Mazzini, 00147 Roma Roma, Italia",41.8589212,12.495005572708482,Regione Lazio,,Via Maria Drago Mazzini,00147,,Municipio Roma VIII,Roma,Roma,RM,Lazio,LAZ,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Regione Molise,"41.55930345118881, 14.654637297063617",41.5593034511888,14.6546372970636,0,"Regione Molise Presidenza - Palazzo Vitale, Via Guerrino Jezza, 86100 Campobasso CB, Italia",41.559329649999995,14.654500654457419,Regione Molise Presidenza - Palazzo Vitale,,Via Guerrino Jezza,86100,,,Campobasso,Campobasso,CB,Molise,MOL,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Regione Siciliana - Dipartimento del turismo, dello sport e dello spettacolo","38.133293240653174, 13.347579225859992",38.1332932406532,13.34757922586,0.4817825418593019,"Via Emanuele Notarbartolo, 9, 90144 Palermo PA, Italia",38.1333647,13.34767589476791,,9,Via Emanuele Notarbartolo,90144,Comune di Palermo,VIII Circoscrizione,Palermo,Palermo,PA,Sicilia,SIC,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Regione Umbria,"43.10962097914845, 12.387983697205767",43.1096209791485,12.3879836972058,5.263669107735145,"Corso Vannucci, 103, 06121 Perugia PG, Italia",43.109593,12.388036,,103,Corso Vannucci,06121,Comune di Perugia,,Perugia,Perugia,PG,Umbria,UMB,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Regione Veneto - Direzione Turismo,"45.44240912384582, 12.323647698245507",45.4424091238458,12.3236476982455,0,"Palazzo Sceriman, Calle Gioacchina, 30121 Venezia VE, Italia",45.44270795,12.323579580703365,Palazzo Sceriman,,Calle Gioacchina,30121,Cannaregio,Venezia-Murano-Burano,Venezia,Venezia,VE,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rimini Welcome,"44.063834418165385, 12.574118829448537",44.0638344181654,12.5741188294485,0,"Stazione di Rimini, Piazzale Cesare Battisti, 3, 47921 Rimini RN, Italia",44.0637787,12.5741206,Stazione di Rimini,3,Piazzale Cesare Battisti,47921,San Giuliano,,Rimini,Rimini,RN,Emilia-Romagna,EMI,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Riviera dei Borghi Acquaviva Scarl,"42.60723487227335, 14.067740327869446",42.6072348722734,14.0677403278694,0,"Villa Filiani, Via Gabriele D'Annunzio, 64025 Pineto TE, Italia",42.607242049999996,14.067640347522937,Villa Filiani,,Via Gabriele D'Annunzio,64025,,Villa Ardente,Pineto,Teramo,TE,Abruzzo,ABR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Riviera del Brenta & Terra dei Tiepolo,"45.4259643896427, 12.074274997297024",45.4259643896427,12.074274997297,0,"Comune di Dolo, Piazza Municipio, 30031 Dolo VE, Italia",45.42595695,12.074260993099525,Comune di Dolo,,Piazza Municipio,30031,,,Dolo,Venezia,VE,Veneto,VEN,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Riviere di Liguria - azienda speciale della CCIAA,"44.30895290172585, 8.484244126024372",44.3089529017259,8.48424412602437,6.58324796756493,"Via Quarda inferiore, 24r, 17100 Savona SV, Italia",44.3089636,8.4843255,,24r,Via Quarda inferiore,17100,Comune di Savona,Villetta,Savona,Savona,SV,Liguria,LIG,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
